Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Isole;Sicilia;CT;NonCap;19105,12;20183,365;17940,274;21752,475;16378,548;20029,205;17554,906;21533,574
Isole;Sicilia;EN;cap;251,37;368;535,545;770,14;544;527,9;457,5;337,31
Isole;Sicilia;EN;NonCap;2422,74;2163,217;2503,114;2963,78;2422,08;2470,699;2153,86;3025,87
Isole;Sicilia;ME;cap;2325,38;2314,29;2344,39;3452,53;1912,03;2532,37;1600,67;2628,93
Isole;Sicilia;ME;NonCap;4424,142;4177,141;3434,33;5209,556;3528,635;4557,274;4106,38;6229,147
Isole;Sicilia;PA;cap;6412,24;7626,92;5659,88;6570,83;5186,54;5963,19;4745,005;6772,631
Isole;Sicilia;PA;NonCap;4349,83;3918,182;3071,84;4243,79;3758,47;4310,716;4310,647;4382,456
Isole;Sicilia;RG;cap;2080,64;2972,22;1729,88;2748,52;2103,42;2930,8;2022,9;3083,32
Isole;Sicilia;RG;NonCap;4106,26;4647,49;4598,867;5415,525;3959,948;5197,417;4491,592;7378,9
Isole;Sicilia;SR;cap;2200,12;2865,75;2686,204;2926,22;2477,85;2662,67;2167,62;3420,46
Isole;Sicilia;SR;NonCap;5775,734;6378,838;4713,814;5545,7;4670,423;5081,176;5037,82;5780,53
Isole;Sicilia;TP;cap;969,28;849,03;679,36;575,06;725,337;920,94;811,507;1130,61
Isole;Sicilia;TP;NonCap;3575,4;3438,008;3852,39;5006,83;3166,299;3962,263;3211,248;4992,194
