Area;Regione;Prov;Cap;2023_1_SUP_NORM;2023_2_SUP_NORM;2023_3_SUP_NORM;2023_4_SUP_NORM;2024_1_SUP_NORM;2024_2_SUP_NORM;2024_3_SUP_NORM;2024_4_SUP_NORM
Isole;Sicilia;CL;NonCap;42927,31;49157,3;50234,25;57202,6;48292,13;48774,615;49486,35;57234,46
Isole;Sicilia;CT;cap;88260,275;104524,065;94810,16;113350,15;94530,56;99321,87;90341,43;118328,16
Isole;Sicilia;CT;NonCap;208141,57;214398,92;196008,06;241349,27;190055,195;216034,68;208592,995;228251,81
Isole;Sicilia;EN;cap;5134,51;6070,26;6227,56;8261,49;8641,4;6484,91;6192,36;5949,86
Isole;Sicilia;EN;NonCap;25470,345;28615,49;32874,79;39066,87;25982,375;28929,3;26772,77;34242,41
Isole;Sicilia;ME;cap;60570,075;65137,775;59510,49;73954,05;58823,66;62655,28;54287;72899,13
Isole;Sicilia;ME;NonCap;87491,925;99171,63;81217,57;107874,94;89110,475;98735,155;93430,155;119289,765
Isole;Sicilia;PA;cap;171536,98;186132,52;149765,53;184942,76;161526,47;180866,525;161018,57;191113,14
Isole;Sicilia;PA;NonCap;153791,295;159487,82;132431,41;184317,35;140590,51;154275,06;152139,725;178233,985
Isole;Sicilia;RG;cap;25787,21;32892,59;22787,68;30046,12;27302,35;31860,64;27358,57;33298,51
Isole;Sicilia;RG;NonCap;63536,7;67660,96;60547,12;73328,81;63764,99;72739,88;62234,97;83149,23
Isole;Sicilia;SR;cap;42417,19;46633,93;45906,81;51118,785;44423,075;48070,415;43568,07;53111,1
Isole;Sicilia;SR;NonCap;72499,2;80451,365;68323,745;82151,295;73394,39;85410,3;72053,27;86657,43
Isole;Sicilia;TP;cap;17998,72;20595,55;17487,965;22128,435;19017,615;20917,33;16804,545;24535,985
Isole;Sicilia;TP;NonCap;97079,05;101553,815;91812,5;113882,57;94983;113479,355;93066,02;108257,935
